_LOAD_FAST_5,_BINARY_SUBSCR_LIST_INT
_STORE_FAST_3,_LOAD_CONST_INLINE_BORROW
_LOAD_FAST_2,_LOAD_FAST
_LOAD_FAST_2,_LOAD_CONST_INLINE
_LOAD_FAST_3,_GUARD_BOTH_FLOAT
_PUSH_NULL,_LOAD_FAST_2
_CHECK_VALIDITY,_STORE_FAST_5
_STORE_FAST_5,_LOAD_FAST_4
_ITER_NEXT_RANGE,_STORE_FAST_7
_STORE_FAST,_LOAD_FAST_5
_LOAD_ATTR_INSTANCE_VALUE_0,_STORE_FAST_3
_STORE_FAST_6,_LOAD_FAST_6
_LOAD_ATTR_INSTANCE_VALUE_0,_LOAD_CONST_INLINE_BORROW
_BINARY_SLICE,_CHECK_VALIDITY_AND_SET_IP
_LOAD_ATTR_NONDESCRIPTOR_WITH_VALUES,_LOAD_FAST
_LOAD_CONST_INLINE_BORROW,_COMPARE_OP_INT
_BINARY_SUBSCR_DICT,_CHECK_VALIDITY_AND_SET_IP
_LOAD_FAST_1,_EXIT_TRACE
_GUARD_GLOBALS_VERSION,_LOAD_GLOBAL_MODULE
_UNPACK_SEQUENCE_TUPLE,_UNPACK_SEQUENCE_LIST
_CHECK_VALIDITY_AND_SET_IP,_BUILD_LIST
_STORE_FAST,_JUMP_TO_TOP
_LOAD_FAST_6,_LOAD_FAST_5
_LOAD_CONST_INLINE_WITH_NULL,_LOAD_FAST_6
_GUARD_IS_TRUE_POP,_LOAD_FAST_5
_LOAD_CONST_INLINE_BORROW,_LOAD_FAST_6
_STORE_FAST_1,_LOAD_FAST_2
_LOAD_FAST_5,_LOAD_FAST
_LOAD_FAST_1,_GUARD_BOTH_INT
_CHECK_VALIDITY_AND_SET_IP,_CALL_METHOD_DESCRIPTOR_NOARGS
_GUARD_IS_TRUE_POP,_LOAD_FAST_7
_LOAD_FAST_3,_BINARY_SUBSCR_LIST_INT
_ITER_NEXT_TUPLE,_STORE_FAST_6
_ITER_NEXT_LIST,_STORE_FAST_0
_LOAD_FAST_6,_LOAD_FAST_2
_CHECK_VALIDITY_AND_SET_IP,_TO_BOOL
_LOAD_ATTR_SLOT_0,_LOAD_FAST_0
_LOAD_CONST_INLINE,_LOAD_CONST_INLINE
_LOAD_FAST_3,_PUSH_NULL
_BINARY_OP_SUBTRACT_INT,_STORE_FAST_4
_ITER_NEXT_RANGE,_STORE_FAST_5
_STORE_FAST_3,_CHECK_FUNCTION
_LOAD_CONST_INLINE_WITH_NULL,_LOAD_FAST_4
_LOAD_FAST,_LOAD_CONST_INLINE
_LOAD_CONST_INLINE_BORROW,_LOAD_FAST_3
_CHECK_VALIDITY,_LOAD_CONST_INLINE
_LOAD_ATTR_METHOD_NO_DICT,_LOAD_FAST
_GUARD_IS_TRUE_POP,_LOAD_FAST_3
